ark,这么跟你说吧，ark的气血就像杨振宁的性欲，越老越涨。
基础梵文,基础梵文可以靠读天竺梵语从1到101级。到明教山下小木屋，look picture，ask lao zhe about picture，给钱就xue fanwen for lao zhe 1，之后buy shu可以读。
技能上限,"技能上限 = 经验乘十,开三次方,再加一. 或者直接到扬州巫师会客室(ct,do 2 n,w,nw)输入exp查看."
假死,假死无任何损失。以下情况为假死：比武场死亡，跳楼摔死，凌霄铁索摔死，萧峰任务被蒙面杀手杀死，海战死亡等。
剑法入门,"剑法入门在凌霄城尚武书局,可读基本剑法到30级."
贱人,这位姑娘，请不要过分自责了，北侠贱人又不止你一个。
降内力,"新手如果内力超标可以用dz,halt的方法降内力，也可以降低有效内功到100以下，quit进来"
金顶,"金顶在峨眉最北边，可以观日出。经过云海去金顶的路线是：n,n,w,e,s,e,e,n,n。"
金刚经,金刚经在少林藏经阁一层地上，可以读禅宗心法到101级。
金蛇锥,"金蛇锥的拿法：华山舍身崖，多问几次公平子关于金蛇郎君的事情，正午会出现westup的路（没有就ed,wu多走几次到出现为止），身法大于60可以down，然后break dong，找到skeleton，bury skeleton。"
金叶,金叶 = 80 silver。
金庸全集,金庸全集收集齐才能出师，具体拿法去wiki.pkuxkx.net看。
经验,强弱的首要指标。
精力上限,精力上限=基本内功(force)等级乘15。基本内功等级用skills命令查看。
景山,景山在北京紫禁城北边。
九转熊胆丸,吃丸子涨最大精力15点、最大内力10点，一岁最多吃20个，可累计。现在丸子一般有人挂，需要的话问pig要要看。
旧竹片,"旧竹片又名易筋经轻功篇,达摩洞内获得.读完之后带在身上走达摩洞,可涨dodge至101."
巨蟒胆,巨蟒胆是女娲石的原料，在太湖黑风山的蛇窟里。
巨岩,巨岩在武当，天柱峰下climb
牢房钥匙,"牢房钥匙在ct,w,w,n,n,n崔员外身上。"
老巴,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
老黄,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
老渠,老渠专卖鱼饵，去苏州西大街杂货铺找他。
老山参,老山参吃了有几率涨1点最大内力，同时也是做女娲石的原料，拿法：在北京关外密林，search 人参。
老秃,其实老秃并不是全身上下都秃，个别地方你们看不见而已。
老顽童,有两个周伯通，桃花岛的那个负责教互博，学会以后再见不到；全真树林那个是常驻的，用来完成一灯任务或各门派门忠。
雷震挡,雷震挡是明教绿柳山庄赵一伤的独门兵器。
例银,各门派会定期发放例银，发放人名单请help silver
灵鹫密道,灵鹫密道在灵鹫独尊厅往西，花园处ban shan（当前内力要大于1000），down就是了。
灵芝,灵芝在襄阳黑松彾，是配丸子的原料之一，也可以吃，吃了涨300当前内力。
凌霄松林,"凌霄松林是个比较难的迷宫，总的来说，想去拿宝贝，走n,nw方向；想出来的话，走s,se方向。"
领钱,各门派会定期发放例银，发放人名单请help silver
领悟,领悟是不耗潜能涨基本功夫的方法之一（另一个是侠客岛），在少林达摩院二楼，需要过十八罗汉阵。
刘寡妇,刘寡妇常年不在自己家住，在谁家大家心里都清楚。 
六脉神剑剑谱,六脉神剑剑谱可以读基本指法到151级.天龙弟子门忠1000以上找枯荣要吧.
六盘山,"六盘山在扬州以西，从ct，do 6 w,nu就是。"
六韬,朝廷id读六韬可以涨兵法战策从31到60级。去找多隆要吧。
龙鳞,龙鳞好像是某套装中的一件防具，能提高招架和人品。
龙心,龙心好像是某套装中的一件，可以临时增加内功和身法修为，还能提高人品。
龙牙,龙牙好像是某套装中的一柄剑，能提高剑法和人品。
陆家庄,"陆家庄在嘉兴西南边，具体路径：ct,do 6 e,se,s,e,s,do 2 sw,s"
绿柳山庄,绿柳山庄在明教山脚下大沙漠sw方向，ct输入lvliu即可，回来是lvliub
罗汉阵,过罗汉阵需要所有技能80，去少林分别找玄苦和玄难问罗汉大阵的事情，按提示做就行了。
裸奔,有人裸奔？哪儿呢哪儿呢？是倩儿还是小宝贝，该不会又是老秃吧？
骆驼,白驼弟子在钱眼开处ask 骆驼，非白驼弟子ask 租骆驼，5gold一次。骑骆驼可以去白驼沙漠。
落英神剑掌,落英神剑掌是桃花岛的绝学，需解密才能学，提示如下：问黄药师和黄蓉落英神剑掌，找曲灵风要铁八卦，当strike大于100，加力大于100的时候，pai tie bagua。如果拍了上百次都没学到，那就放弃吧，你的福缘不够。
慢慢来,慢慢来是闻名海内外的自虐狂，关于自虐的任何疑问都可以咨询他。
玫瑰花露,玫瑰花露只有慕容家的人可以吃，补满当前气血、精神和内力。问阿朱要吧。
美女,北侠有美女，但是我就不告诉你是谁。
闷骚,闷骚就是说：平常装的人麽狗样，其实暗地里骚的一塌糊涂。
蒙古包,蒙古包在襄阳以北。必须先问郭靖报国的事情，然后骑着汗血宝马（必须）到襄阳北门give jiang ling，再一直往北既是。
孟子,孟子是天上掉的神书。可以读读书写字到251级。悟性达到45才能读，读一次耗精200。
迷魂阵,有两个迷魂阵，你要问无量山迷魂阵还是归云庄迷魂阵？
密道,灵鹫密道在灵鹫独尊厅往西，花园处ban shan（当前内力要大于1000），down就是了。
密室房梁,密室房梁在泉州向阳老宅。
免费武器,"经验30m以下的id可以到爱爱那儿领取免费武器和装甲，攻防都是很不错的。地点是ct,d,out。命令为list和draw。"
明教密室,在明教后花园问小昭关于张无忌、乾坤大挪移和密室的消息即可，必须是张无忌弟子。
明书辑略,朝廷id读明书辑略可以涨为官之道从51到100级。到鳌拜府内找找看。
鸣鸿刀,鸣鸿刀是wiz发的宝贝，攻击 +175，轻且结实，但是无法保存。
茉莉花露,茉莉花露只有慕容家的人可以吃，涨最大精力一点。问阿朱要吧。
莫高窟,"莫高窟在月儿泉那里，具体路径是：ct,do 6 w,nu,nd,do 2 w,nw,climb mount"
母鸡,母鸡已经精尽人亡，请大家不要再打扰她了。
慕容茶花林,"茶花林在慕容曼陀山庄，从码头穿过茶花林的路径是：w,n,w,do 2 s,do 2 e,do 2 w。从小路经桃花林回码头的路径是：e,s,n,w,do 2 n,e,s,e."
慕容小路,"慕容小路在慕容的琴韵小筑、听香水榭和曼陀山庄都有。找不到的话，去琴韵小筑的码头,w,n,jump west看看。"
内力上限,内力上限=有效内功等级乘10。有效内功等级用jifa或enable命令查看。
孽龙丹,孽龙丹是掉落物品，吃了加2000经验，1000潜能。
女人,在北侠找女人？你说你都二到啥地步了！
女娲石,在归云庄用千年松果、巨蟒胆、天山雪莲和老山参配出来的灵药，吃了涨20点最大内力，可以连续吃。
蟠桃,蟠桃是天上掉的东西，吃了涨最大内力10点。
屁股,我检举：pig这个变态，所有id密码都是屁股。。。
菩提子,菩提子是少林的灵药，在金刚伏魔圈接三渡三招不死，ask du nan about 菩提子有概率得到。吃了涨100点最大内力，不能连续吃，否则减100最大内力。吃之前必须去少林药品库找小和尚ask xu jie about 药性。如果告诉你药性还在，就不能吃；告诉你一堆废话，就是可以吃了。
瀑布,"在瀑布那儿发呆可以涨exp。具体路径为：ct,do 9 s,se,e,do 2 ne,climb，要求轻功大于99级。"
七寸子蛇,七寸子蛇在归云庄蛇窟。
千年火龙丹,千年火龙丹是掉落物品，吃了加30最大内力、20最大精力。
千年人参,千年人参吃了涨当前内力5025点左右，不能连续吃，busy不能吃，在扬州药铺买，售价8 gold。
千年松果,千年松果是很顶饱的东西，也是女娲石的原料，在灵鹫松树上。
潜能,潜能是用来向师傅学技能（前期）以及修炼特殊内功（后期）的。
泉州井底,泉州井底在泉州向阳老宅，城中心处，w，n，break men，n
拳法入门,拳法入门可以读基本拳法到51级.去洛阳书店买.
人参,千年人参吃了涨当前内力5025点左右，不能连续吃，busy不能吃，在扬州药铺买，售价8 gold。
人品,人品是北侠衡量一个人成败的重要指标，大多数人的人品值都介于老秃和虫二之间，如果很久打不出来高级装备，可以试试去武庙pray，但是不保证一定涨人品，也可能更低。
任督二脉,特殊内功大于300，先天福缘和根骨都不太低的情况下不停dz，就能打通任督二脉，二脉打通后所有先天属性随机增加1或2点。
软猬甲,软猬甲去桃花岛拿，必须是桃花岛弟子，还要有一定门忠，ask 傻姑 about 蓉姐姐，ask 程英 about 黄蓉，然后找黄蓉要。
三略,朝廷id读三略可以涨兵法战策从61到90级。去找多隆要吧。
杀气,sc命令可以看到自己的杀气，太高会疯掉，可以到武庙chanhui，或者比武场假死一次
杀手帮,想进杀手帮北面，除了要swear，还得到万纶台ask liang liuhe about pk，需满足大于17岁，exp大于1m的条件。
杀手帮监狱,最大内力太低而且杀气高的人经过杀手帮广场会落入监狱，出来的方法：使劲敲墙，直到出现一片锯条，然后saw。
沙漠绿洲,"沙漠绿洲在南疆沙漠，里面有头小毛驴可以调戏。路径是：天山脚下, sw,nw,sw,se,ne"
山洞,有山洞的地方有：星宿、神龙岛和嘉兴（泉州）玄铁处。
上岛,上岛步骤比较繁琐，尤其是第一次上岛的人，很容易出错，请去论坛wiki阅读相关介绍。
上限,"你要问什么玩意儿的上限,内力上限?精力上限?还是技能上限?"
少林地下室,少林地下室在少林的西碑林，look tower，看到四句诗，念第二句 (say 上报四重恩，下济三途苦)，然后 do 4 pull stone up，do 3 push stone down.
少林佛经,少林佛经用来读禅宗心法，般若经、维摩经、法华经、华严经，可读0至51级；无量寿经、大般涅磐经、阿含经、金刚经、波罗蜜多心经，可读0至101级。同种类的经书在当铺反复进行dang和shu的操作可以改变书的种类，做门忠需要该技巧。
少林监狱,"掉进少林监狱不要怕，贿赂狱卒10 silver就行了，出来后走五行洞，到红色的五行洞，n,w,n,e,s,u,out即可。"
少林经书,少林佛经用来读禅宗心法，般若经、维摩经、法华经、华严经，可读0至51级；无量寿经、大般涅磐经、阿含经、金刚经、波罗蜜多心经，可读0至101级。同种类的经书在当铺反复进行dang和shu的操作可以改变书的种类，做门忠需要该技巧。
少林药品库,少林药品库在少林东北，好好找。
少林英雄令,没有过罗汉阵进少林需要少林英雄令，给托钵僧1gold即可，有时间限制
蛇谷荒地,"蛇谷荒地很危险滴，非要去的话，记住回来的路：五出口的地方，w,se,ne"
射雕,"射雕英雄传拿来读(read shediao 50)可以同时涨parry和force到180级，拿法请参看襄阳旅游图(ct,e,s,list)。"
射雕英雄传,射雕英雄传拿来读(read shediao 次数)可以同时涨parry和force到180级，拿法请参看襄阳旅游图(在扬州杂货铺买)。
麝香,麝香是配丸子的原料，在襄阳城东打晕麋鹿可得。
深谷,深谷在神龙岛山泉处climb down。怎么出来？你说呢。
神龙岛地道,神龙岛地道在神龙岛议事大厅往北一步，使劲look light，直到有提示性描述，push light就行了。
神龙岛山洞,"神龙岛山洞在山腰se，山泉处climb down，然后kan west,kan hole,enter hole"
神龙岛深谷,"神龙岛深谷在山腰se，山泉处climb down既是。另外，在那里kan west,kan hole,enter hole，可以进入山洞。"
神龙岛树林,这个也要问？一直e是进，一直w是出。
神龙地道,神龙地道在神龙岛议事大厅往北一步，使劲look light，直到有提示性描述，push light就行了。
神龙山洞,"神龙岛山洞在山腰se，山泉处climb down，然后kan west,kan hole,enter hole"
神龙深谷,"神龙岛深谷在山腰se，山泉处climb down既是。另外，在那里kan west,kan hole,enter hole，可以进入山洞。"
圣经,圣经是天上掉的神书，可以读读书写字到101级。阅读该书要求的悟性较说文解字低，先天悟性低于20在开始游戏时除了花费潜能学习外，只能读这本书提高读书写字等级。
石板,"石板又名易筋经拳法篇,能读除unarmed外的所有空手功夫到30级.在少林寺碑林处,say 上报四重恩，下济三途苦,do 4 pull stone up,do 3 push stone down,下去以后在地上就能找到.这个密室内可study table,能将除unarmed外的所有空手功夫提升至100级."
史青山,史青山在扬州兵营，专门负责收拾被北京通缉了的倒霉蛋，ask shi about 疏通 试试。
手信,手信的拿法：华山岳不群寝室move desk得到信纸，去华山玉泉院李铁嘴处ask伪造，给银子，给paper就行了。
手淫,你个臭流氓回家自摸去！
手印,ask 砍柴人 about 手印，砍柴人在归云庄，扬州宝库也有个。每个id在线只能ask一次，不能要了的话relogin或者换个id ask。
帅哥,往哪儿看呢，帅哥就在你眼前，怕了吧？
水靠,"水靠就是比基尼，是去嘉兴山洞的必备用品，拿法是：jiaxing,nd,ask chou diao about 独孤求败,nu,ask yu fu about 过河,se,catch fish,nw,give fish to yu fu"
说文解字,说文解字可以读读书写字到101级。到扬州书院朱熹处buy shu即可。
思过崖,"去华山思过崖的路径是：ct, do 5 n,nw,do 6 n,do 5 e,se,su,eu,su,eu,do 2 su,sd,su,e,do 2 sd,climb xuanya,climb west。有轻功要求，否则会晕。"
死老秃,刘寡妇每天要八次，老秃就变死老秃了。
四宝,北侠四宝分别是：pig的丸子，qianr的闺房，icer的硬盘，还有chonger的美貌。
松林,松林？你想问凌霄松林么？
松树林,少林松树林能进不能出，通向金刚伏魔圈，但是想出来只能等着掉进监狱了。
苏州老渠,老渠专卖鱼饵，去苏州西大街杂货铺找他。
孙膑兵法,朝廷id读孙膑兵法可以涨兵法战策从91到120级。去找多隆要吧。
孙子兵法,朝廷id读孙子兵法可以涨兵法战策从171到200级。去岳王墓里找吧。
泰山茅厕,泰山茅厕在玉皇顶eu方向，小毛家茅屋enter maoce，记得出来要冲水
唐太宗李卫公问对,朝廷id读唐太宗李卫公问对可以涨兵法战策从0到30级。去找多隆要吧。
桃源驿站,"桃源驿站在扬州城南，具体路径：ct,do 9 s,se,e"
特技,关于特技，请参看help kungfu-special
天地会暗道,"天地会暗道在棺材铺，knock guancai 3,ed, 想去找陈近南的话：do 3 s,w,e,do 4 n。负道德的小心这厮发飙。出去的路径：do 4 s,w,n,n,e,n,s,wu"
天龙八部,"天龙八部分金庸签名版和普通版.前者是出师用的,后者可以读基本刀法和基本剑法101到180级.两种天龙八部的拿法一样(区别只在拿书id的经验,50m以上拿到的是金庸签名版):去灵鹫宫问虚竹梦姑的事儿,去西夏皇宫找梦姑问梦郎到消息,拿到一封信,回去给虚竹,再带虚竹到梦姑那儿,他们会进屋嘿咻...你回去bai xu,就拿到天龙八部了."
天山器法,天山器法可以读暗器到101级，星宿门人去找摘星子要吧。
天山雪莲,天山雪莲在星宿天山上，问阿拉木罕要到伊犁马才能上去。吃天山雪莲涨最大精力1点。
天鹰,天鹰这个人有三大特点：闷骚、闷骚和闷骚。
天鹰,天鹰这个人有三大特点：闷骚、闷骚和闷骚。
天竺梵语,天竺梵语可以读基础梵文从1到101级。到明教山下小木屋，look picture，ask lao zhe about picture，给钱就xue fanwen for lao zhe 1，之后buy shu可以读。
跳楼,在少林钟鼓楼跳楼可以无限制涨基本轻功，但是超过exp限制的部分relogin会丢掉。
铁八卦,铁八卦是桃花岛的物品，找曲灵风可以要到，桃花弟子拿来pai tie bagua可以涨基本掌法到100级，然后加力拍，可以学到落英神剑掌。
听香水榭,"听香水榭在慕容，可以在码头cai tingxiang，也可以w,do 2 n,tan qin,row tingxiang"
通缉,"在北京杀人被通缉的话，去扬州兵营 ask shi qingshan about 疏通，give shi 10 gold,等半分钟就行了。"
偷师,公开讨论偷师的，鸡鸡切无赦！
土豪,北侠打土豪是谁？那还用说，当然是全身洞最多的老秃同学了。
丸子,吃丸子涨最大精力15点、最大内力10点，一岁最多吃20个，可累计。现在丸子一般有人挂，需要的话问pig要要看。
万安寺,万安寺在洛阳南大街小胡同一直往西。
万安塔,万安塔在洛阳万安寺内，有一个闯塔的任务可以做，具体help task-wananta
万年灵芝,万年灵芝是天上掉的东西，吃了涨2000经验，1000潜能。
为官之道,为官之道是朝廷的技能，是升官、召唤大内高手等的必备之术。依次读大清律例、明书辑略、厚黑学和资治通鉴四本书可以涨到200级。
维摩经,维摩经在少林藏经阁一层地上，可以读禅宗心法到51级。
尉缭子,朝廷id读尉缭子可以涨兵法战策从121到140级。去鳌拜府找找看。
问天台,大轮寺的问天台需要正午时分从大轮寺北面的镜庐佛堂处往w走。非正午尝试会晕倒。
我想我是,猪呗，还用问。
乌鸡白凤丸,乌鸡白凤丸是天上掉的东西，吃了涨50点最大内力和30点最大精力。
巫师,北侠的巫师是我见过的最负责和闷骚的一批。
无欢,无欢是北侠首席wiz，长得也非常好看。
无量迷魂阵,"无量迷魂阵在无量山，具体路径是：ct,wuliang,climb,climb yafeng,do 2 s,do 3 sw.进入迷魂阵后，去无量玉璧的路径是：s,e,n,w,n。想从迷魂阵出来一直e就行了。"
无量山迷魂阵,"无量山迷魂阵在无量山，具体路径是：ct,wuliang,climb,climb yafeng,do 2 s,do 3 sw.进入迷魂阵后，去无量玉璧的路径是：s,e,n,w,n。想从迷魂阵出来一直e就行了。"
无量寿经,无量寿经在少林藏经阁一层地上，可以读禅宗心法到101级。
无量玉璧,"无量玉璧在无量山，从迷魂阵s,e,n,w,n即到。"
无名谷底,无名谷底在嘉兴南湖，nd
吴子兵法,朝廷id读吴子兵法可以涨兵法战策从141到170级。去找吴之荣要吧。
五里街,"五里街在嘉兴南湖，nd,do 4 e"
五行洞,"到红色的五行洞，n,w,n,e,s,u,out即可。"
武当休息室,"武当西廊push men,s既可以找到传说中的武当休息室"
武器,北侠有很多好武器，比如新手的免费武器，耐用的玄铁剑，牛X的夺魄枪，还有各种随机武器等。
洗髓丹,洗髓丹吃了涨一点根骨.
侠客岛,侠客岛是领悟所有基本技能的地方，包括读书写字和医术，必须战胜张三才能去侠客岛。
小宝贝,小宝贝是北侠为数不多的女玩家之一，美貌、气质和智慧均排在本mud女玩家第二位。第一是虫二。
小路,有小路的地点有：华山、慕容、灵鹫和灵州
小毛驴,小毛驴在沙漠绿洲，可以拿来调戏，也可以驼点儿东西。
小山村,"小山村在华山脚下，ct,do 5 n,nw,do 6 n就是。"
小熊,小熊？这家伙小的时候就是一副熊样，大了还是一副熊样，反正我没见过比他更衰的。
小鱼儿,北侠第一bt小鱼儿的名字你也敢随便叫？他一个屁都能崩死你。
新房,18岁以后到云台街找小姐花100 gold可以买自己的房子，详细情况help userlife。
新手福利,新手福利有：新手礼品树pick guo，ask lver about 月饼，发呆室发呆，爱爱免费装备，朱熹免费教读书写字，14岁死亡无损失等。
新手礼品,"在新手礼品树下pick guo可以得到一颗果子，吃了涨1000经验，100潜能，40最大内力和最大精力。一辈子只能吃一颗。ct,u，ask lver about 月饼，answer 甜月饼，吃了涨50最大内力，answer咸月饼，吃了涨50最大精力。"
新手礼品树,在树下pick guo可以得到一颗果子，吃了涨1000经验，100潜能，40最大内力和最大精力。一辈子只能吃一颗。
新手礼物,"在新手礼品树下pick guo可以得到一颗果子，吃了涨1000经验，100潜能，40最大内力和最大精力。一辈子只能吃一颗。ct,u，ask lver about 月饼，answer 甜月饼，吃了涨50最大内力，answer咸月饼，吃了涨50最大精力。"
星宿毒经〖上册〗,读星宿毒经〖上册〗可以涨基本毒技到100级。打晕出尘子，enter可得。
熊胆,熊胆在襄阳城东黑松岭的黑熊身上，杀之可得。
熊掌,熊掌是配丸子的原料，在襄阳城东黑松岭杀死黑熊可得。
虚虚,虚虚是北侠最善良的奶妈，谁缺奶（内力）了找他就行，奶多、质优、不含三聚氰胺。
玄铁,玄铁剑是damage 150、很耐用的单手武器，但是store过后就变damage 125了，所以不要store。现在pig在挂，要的人去武庙功德箱拿，按需取用，用完请放回。
玄铁剑,玄铁剑是damage 150、很耐用的单手武器，但是store过后就变damage 125了，所以不要store。现在pig在挂，要的人去武庙功德箱拿，按需取用，用完请放回。
玄铁剑法,玄铁剑法是古墓的武功，只有杨过的徒弟可以学和练。但是外派在钱塘江也能lian jian练会，能练到的最高级别和福缘、悟性有关。
雪参玉蟾丹,最大精力小于500时，雪参玉蟾丹吃了涨最大精力2点，否则涨1点。
雪莲,雪莲是凌霄的灵药，激发了雪山内功的人吃了可以随机涨5到10点最大精力，否则降10点最大精力。
雪莲丹,激发了龙象内功的id吃雪莲丹涨3点最大精力，否则降10点最大精力。
雪莲花,雪莲花吃了涨50最大内力和精力，可以连着吃，但是不能存，不能送人。
血菩提,激发了龙象内功的id吃血菩提涨5点最大内力，否则降10点最大内力。
牙山,"牙山在嘉兴南湖se,ne，然后一直往东方向"
崖间古松,崖间古松在无量山，从无量山后山climb就到。
燕子坞,"燕子坞在慕容，可以在码头踩桩去（cai yanziwu），功夫差得可以坐船去：w,do 2 n,tan qin,row yanziwu"
一线索,一线索在凌霄城外，赞普北面。
医术,医术用来加快当前气血恢复的速度。天龙id可以跟王语嫣学到300级，其他人只能上侠客岛学。
易筋经推脉图,所有解过屠龙刀秘密的人都能靠读易筋经推脉图来学习易筋经，能读到的最高级别 = （ 先天福缘 + 先天悟性 + 后天灵性 ）x 5 + 150
鹰爪功秘诀,"鹰爪功秘诀可读基本爪法到101级.拿法:去梅庄丁坚处,look drawing,ask ding about 剑术,分别向梅庄四友打听任我行,fight嬴了之后给四宝拿到钥匙,在黄钟公的卧室里,look table,search table,有几率拿到."
鱿鱼,"鱿鱼不是鱼,是猪装的."
鱿鱼丝,"鱿鱼丝就是把鱿鱼拍成片,切出来的."
玉皇顶,玉皇顶就是泰山的顶。
玉女心经,"玉女心经是古墓的内功,比较强.除了向师傅学习外,可以读玉女心经(0-49,问陆无双要)和玉女心经下册(50-100,古墓侧室search bed)."
玉虚观,段誉他妈刀白凤在玉虚观，大理南门eu方向
月儿泉,"月儿泉在丝绸之路一个有mount的地方。具体路径是：ct,do 6 w,nu,nd,do 2 w,nw,climb mount"
云海,"云海在峨眉最北边，经过云海可以去峨眉金顶：n,n,w,e,s,e,e,n,n。"
赞普,赞普在武当山门一直往西北方向。
张三,击败张三才能去侠客岛，张三会定期来选超过5m经验的id，来的时间请help mimi-xkd。
招财大车店,招财大车店在赞普。
真丝保甲,真丝保甲是鳌拜府的宝物，防御550，不能存。
真武剑,真武剑是张三丰的佩剑，天上掉的宝贝，不能存。damage 160，还可以du sword涨基本剑法从50到120级，需要5万经验。
重启,北侠wiz经常用服务器看高清小电影导致系统花屏崩溃，请大家理解：老秃主演的小电影还是很有“看点”的。
周伯通,有两个周伯通，桃花岛的那个负责教互博，学会以后再见不到；全真树林那个是常驻的，用来完成一灯任务或各门派门忠。
朱睛冰蟾,朱睛冰蟾可以用来解毒，但是不如卖了划算，赚8gold。
朱熹,跟朱熹可以免费学读书写字到300级(xue zhu for literate 50)。
猪头,猪头的拿法：perceive pigfdy，follow pigfdy，kill pigfdy，zhan corpse，get shouji。
爪法入门,"爪法入门可以读基本爪法到51级,去洛阳书店买."
资治通鉴,朝廷id读资治通鉴可以涨为官之道从151到200级。去找康熙要吧。
紫禁城,想进紫禁城，可以去天桥ne处，ask qian about 进宫，give qian 1 gold，就行了。
紫霞,读紫霞秘籍可以涨紫霞神功，秘籍在华山陆大有身上，抢的时候小心被劳德诺追杀，自己想办法吧。
最大精力,最大精力 = 基本内功等级 x 15
最大内力,最大内力 = jifa命令显示出的内功等级 x 10
